SSID,BSSID,RSSI,Auth,Channel,Label
FreeWiFi_7440,4b:84:4d:02:3b:b7,-72,WPA2,8,fake
Apartment_6181,64:ca:c0:00:73:55,-46,Open,11,real
FreeWiFi_1254.,f7:a1:1a:6a:9b:31,-57,WEP,8,fake
Tower_9341,ed:b0:06:f8:8c:05,-79,Open,9,real
Xfinity6656,b6:c3:f4:ec:6e:d7,-72,WPA2-Enterprise,1,fake
Smith_1412,af:40:84:0b:ed:b8,-67,WPA2-Enterprise,8,real
Hotspot-Hotspot5729,34:11:ad:3b:e8:28,-69,WPA3,10,fake
Residence-3427,9d:55:ab:11:86:aa,-90,WPA2,9,real
Shop-Shop3326,aa:72:e8:54:c2:5b,-73,Open,6,fake
_guest-_guest9901,bf:67:b9:a4:c5:92,-72,WPA3,10,fake
freewifi_7316,76:e3:cd:6a:31:5d,-38,WPA3,7,fake
Airport-3003,35:66:87:99:84:2b,-64,WPA2-Enterprise,6,fake
FreeGuest9231,66:7e:08:9d:d1:98,-87,WEP,11,fake
MyWiFi_Free_1818,cd:0b:ce:31:48:c2,-31,Open,12,fake
mcdonalds4423,23:fc:5b:e7:cb:55,-42,Open,11,fake
NET_9829,d1:06:be:91:8f:ed,-46,WPA2-Enterprise,6,real
FreeWiFi_5261,cd:ce:2a:9c:d2:0b,-36,WEP,2,fake
Linda-5438,84:5c:29:44:29:90,-60,WPA2-Enterprise,6,real
Network-Network3966,14:86:17:35:65:07,-55,WPA2,9,fake
mywifi wifi 3479!,83:b9:61:e6:27:c6,-54,WPA3,9,fake
Linksys_4609,43:c9:cf:00:1b:ed,-75,WPA2-Enterprise,9,real
MyWiFi Free 9655,60:ce:f2:1f:09:41,-36,Open,2,fake
Dorm-9321,ad:85:3c:65:24:5d,-67,WPA3,6,real
Apartment-9475,4c:4e:3b:3e:33:84,-44,WPA2-Enterprise,5,real
free_xfinity5629,11:2e:8c:0b:85:65,-80,WPA3,3,fake
Anderson_3603,55:c7:81:de:04:90,-58,WPA3,10,real
McDonalds_WiFi_4163,c9:8d:7d:68:52:f0,-49,WPA2,7,fake
Xfinity1747 WiFi,97:07:1b:08:4e:9e,-82,WPA2,7,fake
Anderson_WiFi,5a:9f:6b:25:75:d9,-69,WPA3,6,real
LibraryGuest3053,b8:06:61:8f:d8:b4,-36,WPA3,2,fake
John_1562,64:3f:4e:45:4b:df,-69,WPA2-Enterprise,13,real
MyAP_5930,f9:68:9c:60:10:52,-74,WPA3,7,real
Residence-3327,dc:5c:95:dd:ca:ff,-58,WEP,8,real
Office_4317,4b:c6:bf:42:83:19,-66,Open,3,real
Smith-8215,57:d0:f1:7e:b3:37,-67,WEP,5,real
GuestGuest8898,92:7b:8f:42:6f:0c,-32,WPA2,2,fake
TPLink-160,a5:f3:df:fe:81:0d,-36,WPA2,9,real
Tower-2872,f5:6e:2f:f1:88:03,-43,WPA2-Enterprise,5,real
Campus_5308,fb:fd:7d:a3:2d:e2,-64,WEP,8,real
Free-Free7529.,6f:fd:f0:4b:b5:4f,-58,WPA3,11,fake
Xfinity_Free_2933,9f:15:41:f8:42:ff,-44,WPA3,4,fake
NET-3688,27:db:3c:a3:3f:e2,-70,WPA2,5,real
Residence-7205,48:9e:bf:27:24:99,-70,WPA2-Enterprise,8,real
Anderson-870,4d:47:0d:92:a8:08,-40,WPA2,1,real
tplink6880,7a:fb:bb:0f:eb:c5,-87,WPA2,8,fake
FreeWiFi 6534,a5:a4:24:86:29:43,-75,Open,12,fake
mywifi free 6799,90:df:1b:c2:53:b8,-80,WPA2,3,fake
John-3931,6e:f1:e7:21:6a:e8,-39,WEP,13,real
