bssid,recordDate,latitude,longitude,accuracy,signalStrength,ssid,securityType,channel,frequency,capabilities,totalSurveys,inconsistentLocation
40:3f:8c:7f:29:bd,1679082542888,52.2521183333333,-2.890031667,8.19999980926514,-39,PLUSNET-R3C22J_EXT,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],9795,0
c4:e5:32:27:0c:d8,1679084801821,52.2520633333333,-2.889735,6.30000019073486,-25,PLUSNET-R3C22J,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],8008,0
62:e5:32:27:0c:dc,1679085220270,52.25213,-2.889973333,6.59999990463257,-25,,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2001,0
d4:86:60:8e:bd:00,1679085447359,52.252065,-2.888555,6.30000019073486,-85,BT-6RC29N,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],11,0
62:86:60:8e:bd:01,1679085447359,52.252065,-2.888555,6.30000019073486,-85,BTWi-fi,OPEN,2,5180,[ESS],11,0
62:86:60:8e:bd:02,1679085447359,52.252065,-2.888555,6.30000019073486,-85,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],9,0
e4:75:dc:0a:19:48,1679085482877,52.2510033333333,-2.883358333,2.09999990463257,-84,BT-NJAKHX,WPA2,2,5180,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],28,0
62:75:dc:0a:19:49,1679085482877,52.2510033333333,-2.883358333,2.09999990463257,-85,BTWi-fi,OPEN,2,5180,[ESS],30,0
62:75:dc:0a:19:4a,1679085482878,52.2510033333333,-2.883358333,2.09999990463257,-85,BTWifi-X,WPA2,2,5180,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],30,0
de:ec:5e:85:95:27,1679085482884,52.2510033333333,-2.883358333,2.09999990463257,-91,,WPA2,1,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1,0
d8:ec:5e:85:95:29,1679085488019,52.2510033333333,-2.883358333,2.09999990463257,-86,Airband_859526,WPA2,2,5500,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],9,0
10:06:45:e7:52:c7,1679085503224,52.2510033333333,-2.883358333,2.09999990463257,-59,PLUSNET-HWCP,WPA2,2,5240,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],18,0
10:06:45:e7:52:c6,1679085503225,52.2510033333333,-2.883358333,2.09999990463257,-60,PLUSNET-HWCP,WPA2,0,2412,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],36,0
